Year,site,r95ptot,rx1day
1996,Dannevirke,18.32001559,45.1
1997,Dannevirke,29.27294637,58.8
1998,Dannevirke,11.92173124,37.4
1999,Dannevirke,35.01204292,68
2000,Dannevirke,27.13708125,70.7
2001,Dannevirke,30.29137417,47.5
2002,Dannevirke,25.66191446,63.3
2003,Dannevirke,32.32304217,74.7
2004,Dannevirke,33.76577593,140.8
2005,Dannevirke,16.64662016,44.1
2006,Dannevirke,30.30384997,60.1
2007,Dannevirke,13.36589127,42.6
2008,Dannevirke,6.587914584,32.2
2009,Dannevirke,43.57745082,64.4
2010,Dannevirke,16.9,51
2011,Dannevirke,24.09662607,84.2
2012,Dannevirke,22.34268707,49.8
2013,Dannevirke,32.29697411,58.8
2014,Dannevirke,24.47160682,35.8
2015,Dannevirke,21.37087468,70.4
2016,Dannevirke,12.06129511,39.2
1960,Dunedin,23.02421197,36.3
1961,Dunedin,14.35072322,24.3
1962,Dunedin,19.47548107,32.2
1963,Dunedin,23.2880629,38.1
1964,Dunedin,11.3345521,55.8
1965,Dunedin,4.746263754,28.9
1966,Dunedin,25.87438887,62.3
1967,Dunedin,9.903295129,30.5
1968,Dunedin,41.00187705,80.9
1969,Dunedin,31.45451699,31.6
1970,Dunedin,24.11206369,27.3
1971,Dunedin,37.04614494,52.3
1972,Dunedin,32.35053235,61.5
1973,Dunedin,11.47123088,22.9
1974,Dunedin,25.51961459,41.6
1975,Dunedin,15.73100281,44.6
1976,Dunedin,22.99150882,41.8
1977,Dunedin,19.09889838,50.7
1978,Dunedin,35.16845703,37.3
1979,Dunedin,13.21572269,35.5
1980,Dunedin,36.23990773,106.2
1981,Dunedin,24.32232262,31.1
1982,Dunedin,29.55004327,33.9
1983,Dunedin,38.09116461,63.8
1984,Dunedin,25.90970859,41.9
1985,Dunedin,9.267734554,21.2
1986,Dunedin,31.25659979,61
1987,Dunedin,32.63021954,34.8
1988,Dunedin,22.04608295,43.4
1989,Dunedin,10.53517334,21.3
1990,Dunedin,19.80551697,34.6
1991,Dunedin,23.11738649,58.4
1992,Dunedin,23.67908788,25.7
1993,Dunedin,14.04339853,30.8
1994,Dunedin,33.79972565,40
1995,Dunedin,10.12759171,21.6
1996,Dunedin,12.28257961,25.5
1997,Dunedin,20.05638341,44.5
1998,Dunedin,16.42072214,57.6
1999,Dunedin,18.2010582,39.8
2000,Dunedin,36.96849526,54.2
2001,Dunedin,6.986190089,34.4
2002,Dunedin,22.76222701,30.6
2003,Dunedin,19.63381379,38.8
2004,Dunedin,21.06113655,65.8
2005,Dunedin,29.90714057,48
2006,Dunedin,25.24303305,82
2007,Dunedin,30.6271777,75.8
2008,Dunedin,31.19883041,55.2
2009,Dunedin,26.73796791,48.6
2010,Dunedin,37.64076577,57.6
2011,Dunedin,29.28727046,54.6
2012,Dunedin,25.19923056,42.2
2013,Dunedin,29.66684294,47.6
2014,Dunedin,22.15365628,29
2015,Dunedin,30.82171462,113.4
2016,Dunedin,35.97058824,43.8
1960,Gisborne,35.88601959,100.1
1961,Gisborne,33.01241937,111
1962,Gisborne,35.44647262,83.8
1963,Gisborne,8.602685231,69.2
1964,Gisborne,36.58570827,87.1
1965,Gisborne,40.41723202,108.3
1966,Gisborne,25.84745763,72.3
1967,Gisborne,10.06357203,45.1
1968,Gisborne,20.80605565,71.4
1969,Gisborne,12.34145104,63.1
